time,gFx,gFy,gFz,TgF
17:16:39:144,0.7197,0.1608,0.1614,0.755
17:16:39:150,0.7248,0.1576,0.1618,0.759
17:16:39:154,0.7287,0.1586,0.1582,0.762
17:16:39:159,0.7341,0.1642,0.1662,0.770
17:16:39:163,0.7392,0.1762,0.1562,0.776
17:16:39:169,0.7360,0.1801,0.1589,0.774
17:16:39:174,0.7272,0.1862,0.1582,0.767
17:16:39:180,0.7192,0.1967,0.1442,0.759
17:16:39:184,0.7170,0.1855,0.1604,0.758
17:16:39:191,0.7104,0.1757,0.1907,0.756
17:16:39:194,0.7065,0.1784,0.2134,0.759
17:16:39:200,0.7011,0.1845,0.2247,0.759
17:16:39:205,0.7045,0.1855,0.2327,0.765
17:16:39:209,0.7179,0.1801,0.2423,0.779
17:16:39:215,0.7363,0.1732,0.2518,0.797
17:16:39:220,0.7443,0.1635,0.2582,0.805
17:16:39:224,0.7556,0.1569,0.2589,0.814
17:16:39:229,0.7541,0.1559,0.2528,0.810
17:16:39:234,0.7571,0.1583,0.2452,0.811
17:16:39:243,0.7468,0.1659,0.2318,0.799
17:16:39:251,0.7536,0.1649,0.2205,0.802
17:16:39:252,0.7539,0.1637,0.2122,0.800
17:16:39:260,0.7529,0.1649,0.2107,0.799
17:16:39:261,0.7654,0.1620,0.2110,0.810
17:16:39:265,0.7627,0.1644,0.2063,0.807
17:16:39:270,0.7522,0.1737,0.2017,0.798
17:16:39:274,0.7431,0.1808,0.2017,0.791
17:16:39:280,0.7421,0.1813,0.2117,0.793
17:16:39:285,0.7448,0.1811,0.2252,0.799
17:16:39:289,0.7453,0.1838,0.2386,0.804
17:16:39:295,0.7485,0.1862,0.2501,0.811
17:16:39:300,0.7549,0.1847,0.2569,0.818
17:16:39:304,0.7656,0.1850,0.2645,0.831
